"sample ID","Cyanophyta_Anabaena","Cyanophyta_Anabaenopsis","Cyanophyta_Aphanizomenon","Cyanophyta_Aphanocapsa","Cyanophyta_Aphanothece","Cyanophyta_Chroococcus","Cyanophyta_Coelosphaerium","Cyanophyta_Cuspidothrix.Aphanizomenon.","Cyanophyta_Cyanodictyon","Cyanophyta_Cylindrospermopsis","Cyanophyta_Gomphosphaeria","Cyanophyta_Heteroleibleinia","Cyanophyta_Jaaginema","Cyanophyta_Limnothrix","Cyanophyta_Merismopedia","Cyanophyta_Microcystis","Cyanophyta_Planktolyngbya","Cyanophyta_Planktothrix","Cyanophyta_Pseudanabaena","Cyanophyta_Pseudanabaenaceae.family.","Cyanophyta_Raphidiopsis","Cyanophyta_Rhabdogloea","Cyanophyta_Romeria","Cyanophyta_Snowella","Cyanophyta_Synechococcaceae.family.","Cyanophyta_Synechocystis","Cyanophyta_Woronichinia"
2014188001,0.20379662,0,0,0,0.542978294,0,0,0,0,0,0,0,0,0,0,1.239831254,0.090599102,0,0.003081602,0,0,0,0,0.001643521,0.009450247,0,1.968116556
2014188002,0,0,1.086703045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074258041,0,0
2014188003,0,0,45.90406072,0,0,0,0,0,0,0,0,0,0,0,0,40.93623231,0,0,3.68752044,0,0,0,0,0,0,0,0
2014188004,0.030706429,0,0.032102175,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001395747,0,0,0,0,0,0,0,0,0,0
2014188006,0,0,0.069770695,0.148517736,0,0,0,0,0,0,0,0.003060118,0,0,0,0.137093295,0.059366293,0,0,0,0,0,0,0,0.023868922,0,0
2014188009,0,0,0,34.97123846,2.316309531,0,0,0,0,0,0,0,0,0,3.91893223,0,11.97231998,0,0.642020577,0,0.245478456,0,0,4.355669009,0.767906964,0,0
2014188010,0,0,7.608218842,0.247827071,0,0,0,0,0,0,0,0.02926238,0,0,0,0.011560446,0.072614054,0,0,0,0,0,0,0,0.040461563,0,0
2014189001,0,0,0,2.069547001,0,0.279432506,0,0,0,0,0,0,0,0,0.725466867,0.048027462,2.816155729,0,0.694215133,0,4.446906372,0,0,1.331670538,0.55449888,0,0
2014189004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007557915,0,0,0,0,0,0,0,0,0.002061249,0,0
2014189006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012246632,0,0.001148122,0,0,0,0,0,0.041587522,0,0
2014189007,0,0,1.333039446,0.36925811,0,0,0,0,0,0,0,0,0,0,0,13.56066547,0,0,0,0,0,0,0,0,0.007508837,0,0
2014190002,0,0,0,0.771242415,0.527216495,0,0,0,0,0,0,0,0,0,4.643290476,0,0.967065685,0,0.659773785,0,0.067784978,0,0,10.25210133,0.527216495,0,0
2014190004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78104378,0,0,0.035344365,0,0,0,0,0,0.001874322,0,0
2014190005,0,0,0,8.56074183,10.46516354,0,0,0,0,0,0,0,0,0,0.559565777,11.33497154,37.69487935,0,0.041201431,0,0,0,1.524452957,0,0.036623494,0,0
2014195002,0,0,70.44391735,0,0,0,0,0,0,0,0,0,0,0,0.028495221,4.429600948,0,0,0.024037879,0,0,0,0,0,0,0,0
2014195003,0,0,0,0.015606603,0,0,0,0,0,0,0,0,0,0,0.300272039,0,0.055273385,0,0,0,0,0,0,0,0,0,0
2014195008,2.34684309,0,1.984770845,3.301589963,0,0,0,0.051686741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33166249,0.031277105,0,0
2014195009,1.478497514,0,3.826688035,0.783619529,0.252358767,0,0,1.345385198,0,0.041597599,0,0,0.255528107,0,0,3.901458607,0.080223941,5.067776046,0.003565508,0,0,0,0,0.474608795,0.007131017,0,11.64336601
2014195010,0.093639617,0,0.672817985,0.094333243,0,0,0,0,0,0,0,0,0,0,0.000883153,1.423322171,0,0,0.006589454,0,0,0,0,0,0.019652759,0,0
