"","OTU name","Qiime assigned OTU name"
"1","OTU-1","694869"
"2","OTU-2","605409"
"3","OTU-3","1106617"
"4","OTU-4","New.CleanUp.ReferenceOTU2153"
"5","OTU-5","New.CleanUp.ReferenceOTU87250"
"6","OTU-6","New.CleanUp.ReferenceOTU54375"
"7","OTU-7","New.CleanUp.ReferenceOTU61221"
"8","OTU-8","New.CleanUp.ReferenceOTU8595"
"9","OTU-9","New.CleanUp.ReferenceOTU5294"
"10","OTU-10","584177"
"11","OTU-11","332569"
"12","OTU-12","617766"
"13","OTU-13","720353"
"14","OTU-14","New.CleanUp.ReferenceOTU88240"
"15","OTU-15","New.CleanUp.ReferenceOTU44466"
"16","OTU-16","New.CleanUp.ReferenceOTU90930"
"17","OTU-17","305074"
"18","OTU-18","New.CleanUp.ReferenceOTU42944"
"19","OTU-19","New.CleanUp.ReferenceOTU69301"
"20","OTU-20","New.CleanUp.ReferenceOTU3231"
"21","OTU-21","New.CleanUp.ReferenceOTU27098"
"22","OTU-22","New.CleanUp.ReferenceOTU76014"
"23","OTU-23","New.CleanUp.ReferenceOTU77242"
"24","OTU-24","New.CleanUp.ReferenceOTU30235"
"25","OTU-25","New.CleanUp.ReferenceOTU75494"
"26","OTU-26","New.CleanUp.ReferenceOTU41960"
"27","OTU-27","New.CleanUp.ReferenceOTU100579"
"28","OTU-28","New.CleanUp.ReferenceOTU23516"
"29","OTU-29","New.CleanUp.ReferenceOTU36033"
"30","OTU-30","New.CleanUp.ReferenceOTU59624"
"31","OTU-31","New.CleanUp.ReferenceOTU62418"
"32","OTU-32","New.CleanUp.ReferenceOTU65140"
"33","OTU-33","110215"
"34","OTU-34","New.CleanUp.ReferenceOTU73555"
"35","OTU-35","New.CleanUp.ReferenceOTU73558"
"36","OTU-36","New.CleanUp.ReferenceOTU51848"
"37","OTU-37","New.CleanUp.ReferenceOTU97868"
"38","OTU-38","New.CleanUp.ReferenceOTU58169"
"39","OTU-39","New.CleanUp.ReferenceOTU43605"
"40","OTU-40","New.CleanUp.ReferenceOTU64015"
"41","OTU-41","New.CleanUp.ReferenceOTU103369"
"42","OTU-42","New.CleanUp.ReferenceOTU58943"
"43","OTU-43","340208"
"44","OTU-44","New.CleanUp.ReferenceOTU38153"
"45","OTU-45","New.CleanUp.ReferenceOTU86055"
"46","OTU-46","4477199"
"47","OTU-47","New.CleanUp.ReferenceOTU99473"
"48","OTU-48","New.CleanUp.ReferenceOTU11547"
"49","OTU-49","New.CleanUp.ReferenceOTU28267"
"50","OTU-50","346376"
"51","OTU-51","New.CleanUp.ReferenceOTU23889"
"52","OTU-52","New.CleanUp.ReferenceOTU2087"
"53","OTU-53","New.CleanUp.ReferenceOTU399"
"54","OTU-54","New.CleanUp.ReferenceOTU3105"
"55","OTU-55","New.CleanUp.ReferenceOTU33135"
"56","OTU-56","New.CleanUp.ReferenceOTU33735"
"57","OTU-57","358068"
"58","OTU-58","New.CleanUp.ReferenceOTU60527"
"59","OTU-59","New.CleanUp.ReferenceOTU90838"
"60","OTU-60","234802"
"61","OTU-61","New.CleanUp.ReferenceOTU85377"
"62","OTU-62","New.CleanUp.ReferenceOTU78208"
"63","OTU-63","New.CleanUp.ReferenceOTU44245"
"64","OTU-64","New.CleanUp.ReferenceOTU3571"
"65","OTU-65","New.CleanUp.ReferenceOTU101602"
"66","OTU-66","New.CleanUp.ReferenceOTU57169"
"67","OTU-67","New.CleanUp.ReferenceOTU100551"
"68","OTU-68","New.CleanUp.ReferenceOTU102156"
"69","OTU-69","New.CleanUp.ReferenceOTU108356"
"70","OTU-70","New.CleanUp.ReferenceOTU18117"
"71","OTU-71","New.CleanUp.ReferenceOTU85147"
"72","OTU-72","New.CleanUp.ReferenceOTU29213"
"73","OTU-73","102136"
"74","OTU-74","New.CleanUp.ReferenceOTU8855"
"75","OTU-75","New.CleanUp.ReferenceOTU52364"
"76","OTU-76","New.CleanUp.ReferenceOTU68765"
"77","OTU-77","New.CleanUp.ReferenceOTU98020"
"78","OTU-78","New.ReferenceOTU178"
"79","OTU-79","343284"
"80","OTU-80","New.CleanUp.ReferenceOTU71818"
"81","OTU-81","463546"
"82","OTU-82","New.CleanUp.ReferenceOTU11596"
"83","OTU-83","580578"
"84","OTU-84","New.CleanUp.ReferenceOTU12758"
"85","OTU-85","New.CleanUp.ReferenceOTU29800"
"86","OTU-86","New.CleanUp.ReferenceOTU26876"
"87","OTU-87","New.CleanUp.ReferenceOTU97722"
"88","OTU-88","New.CleanUp.ReferenceOTU42649"
"89","OTU-89","New.CleanUp.ReferenceOTU13382"
"90","OTU-90","New.CleanUp.ReferenceOTU1845"
"91","OTU-91","New.CleanUp.ReferenceOTU63286"
"92","OTU-92","New.CleanUp.ReferenceOTU23928"
"93","OTU-93","New.CleanUp.ReferenceOTU14347"
"94","OTU-94","New.CleanUp.ReferenceOTU83341"
"95","OTU-95","New.CleanUp.ReferenceOTU50202"
"96","OTU-96","New.CleanUp.ReferenceOTU7234"
"97","OTU-97","New.ReferenceOTU47"
"98","OTU-98","New.CleanUp.ReferenceOTU76411"
"99","OTU-99","680509"
"100","OTU-100","New.CleanUp.ReferenceOTU13396"
"101","OTU-101","4388963"
"102","OTU-102","New.ReferenceOTU33"
"103","OTU-103","New.CleanUp.ReferenceOTU99539"
"104","OTU-104","New.CleanUp.ReferenceOTU36552"
"105","OTU-105","New.CleanUp.ReferenceOTU66239"
"106","OTU-106","New.CleanUp.ReferenceOTU74601"
"107","OTU-107","New.CleanUp.ReferenceOTU45610"
