sampleid,lakeid,date,Bacillariophyta_Acanthoceras,Bacillariophyta_Asterionella,Bacillariophyta_Aulacoseira,Bacillariophyta_Cocconeis,Bacillariophyta_Cyclotella,Bacillariophyta_Cymbella,Bacillariophyta_Fragilaria,Bacillariophyta_Gomphonema,Bacillariophyta_Navicula,Bacillariophyta_Nitzschia,Bacillariophyta_Pinnularia,Bacillariophyta_Stephanodiscus,Bacillariophyta_Surirella,Bacillariophyta_Synedra,Bacillariophyta_Urosolenia,Chlorophyta_Actinastrum,Chlorophyta_Ankistrodesmus,Chlorophyta_Carteria,Chlorophyta_Chlamydomonas,Chlorophyta_Chlorogonium,Chlorophyta_Chloromonas,Chlorophyta_Closteriopsis,Chlorophyta_Closterium,Chlorophyta_Coelastrum,Chlorophyta_Cosmarium,Chlorophyta_Crucigenia,Chlorophyta_Desmodesmus,Chlorophyta_Dictyosphaerium,Chlorophyta_Elakatothrix,Chlorophyta_Eudorina,Chlorophyta_Gloeocystis,Chlorophyta_Gloeomonas,Chlorophyta_Golenkinia,Chlorophyta_Kirchneriella,Chlorophyta_Lagerheimia,Chlorophyta_Micractinium,Chlorophyta_Nephrocytium,Chlorophyta_Oocystis,Chlorophyta_Pandorina,Chlorophyta_Paradoxia,Chlorophyta_Pediastrum,Chlorophyta_Phacotus,Chlorophyta_Quadrigula,Chlorophyta_Scenedesmus,Chlorophyta_Schroederia,Chlorophyta_Selenastrum,Chlorophyta_Spermatozopsis,Chlorophyta_Sphaerocystis,Chlorophyta_Staurastrum,Chlorophyta_Tetraedron,Chlorophyta_Tetrastrum,Chlorophyta_Treubaria,Chlorophyta_Volvox,Chrysophyta_Bicosoeca,Chrysophyta_Dinobryon,Chrysophyta_Mallomonas,Chrysophyta_Stichogloea,Chrysophyta_Uroglena,Cryptophyta_Cryptomonas,Cryptophyta_Komma,Cyanophyta_Anabaena,Cyanophyta_Anabaenopsis,Cyanophyta_Aphanizomenon,Cyanophyta_Aphanocapsa,Cyanophyta_Aphanothece,Cyanophyta_Chroococcus,Cyanophyta_Coelosphaerium,Cyanophyta_Cuspidothrix(Aphanizomenon),Cyanophyta_Cyanodictyon,Cyanophyta_Cylindrospermopsis,Cyanophyta_Gomphosphaeria,Cyanophyta_Heteroleibleinia,Cyanophyta_Jaaginema,Cyanophyta_Limnothrix,Cyanophyta_Merismopedia,Cyanophyta_Microcystis,Cyanophyta_Planktolyngbya,Cyanophyta_Planktothrix,Cyanophyta_Pseudanabaena,Cyanophyta_Pseudanabaenaceae(family),Cyanophyta_Raphidiopsis,Cyanophyta_Rhabdogloea,Cyanophyta_Romeria,Cyanophyta_Snowella,Cyanophyta_Synechococcaceae(family),Cyanophyta_Synechocystis,Cyanophyta_Woronichinia,Dinophyta_Ceratium,Dinophyta_Gymnodinium,Dinophyta_Peridinium,Euglenophyta_Euglena,Euglenophyta_Phacus,Euglenophyta_Trachelomonas,Haptophyta_Chrysochromulina
2014188001,3,7/8/14,0,0,0,0,0,0,0.583450002,0,0,0,0,0,0,0,0,0,0.0005136,0,0.029788821,0,0,0,0,0,0,0,0,0,0,0.027734419,0,0,0.044375071,0,0,0,0,0.025885458,0,0,0,0,0,0,0.006163204,0,0,0.265017783,0.032870423,0,0,0,0,0,0.038211866,0.022187535,0,0,0.256183857,0.094707905,0.20379662,0,0,0,0.542978294,0,0,0,0,0,0,0,0,0,0,1.239831254,0.090599102,0,0.003081602,0,0,0,0,0.001643521,0.009450247,0,1.968116556,0.78375414,0,0,0,0,0.044375071,0.034537648
2014188002,6,7/8/14,0,0,1.086703045,0,12.13620905,0,0,0,0,0.005188625,0,0,0,0,0,0.07244687,0,0,0.282542792,0.005433515,0.005433515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115914991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.688012063,0.891096497,0,0,1.086703045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074258041,0,0,0,0,0,0,0,0,0
2014188003,11,7/8/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006078544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.90406072,0,0,0,0,0,0,0,0,0,0,0,0,40.93623231,0,0,3.68752044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014188004,16,7/8/14,0,0,0.112881019,0,0,0,0,0,0.000418724,0.000977416,0,0,0,0,0,0,0,0,0.005303838,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002302982,0,0,0,0,0,0,0,0.062808604,0,0,0,0.018993787,0,0,0,0,0,0,0,0.000744398,0,0,0,0,0,0.844269447,0.036650221,0.030706429,0,0.032102175,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001395747,0,0,0,0,0,0,0,0,0,0,0.629563204,0,0,0,0,0.000628086,0.000558299
2014188005,24,7/8/14,0,0,0,0,0.279076403,0,2.699544886,0,0,0,0,0,0,0,0,0,0,0,0.083090709,0,0,0,0.072252791,0,0,0,0.021675837,0,0,0,0,0.007225279,0,0,0,0,0,0.176116177,0,0,0,0,0,0,0.011289499,0.004515799,0,0.014450558,0,0,0,0,0,0,0,0.275463764,0,0,1.332160825,0.205920453,0,0,0.162568779,0.795683856,0,0,0,0,0,0,0,0,0,0,0.050022341,1.565176075,0,0,0,0,0,0,0,0.130958183,0.3061712,0,0,25.76037772,0,0,0,0,0,0.100250747
2014188006,31,7/8/14,0,0,1.689185239,0,0.242667372,0,2.0584395,0,0,0.00857178,0,0.220328509,0,0.031170108,0,0,0,0,0.089763467,0,0,0,0,0,0,0,0,0,0,0,0,0.011016425,0,0,0,0.11159231,0,0.011016425,0,0,0.137705318,0,0,0,0.005712221,0,0,0.011016425,0,0,0,0,0,0,0,0,0,0,0.452693484,0.014892575,0,0,0.069770695,0.148517736,0,0,0,0,0,0,0,0.003060118,0,0,0,0.137093295,0.059366293,0,0,0,0,0,0,0,0.023868922,0,0,0,0,0,0,0,0.01632063,0.006120236
2014188008,86,7/8/14,0,0,0,0,0.1449316,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046930232,0,0,0,0.055212038,0,0.059629001,0,0.015459371,0,0,0,0,0,0,0,0,0,0,0.074812312,0,0,0,0,0,0,0.020566484,0.00055212,0,0.152109165,0,0,0,0,0,0,0,0,0,0,0.191309712,0.148520382,0,0,2.241056624,0,0,0,0,0.869589599,0,0,0,0,0,0,0.305796953,0,0,0,0,0,0,0,0,0,0.000828181,0,0,8.333566992,0,10.35225713,0,0,0.121190423,0.010352257
2014188009,111,7/8/14,0,0,0,0,0,0,0,0,0.283244372,0,0,0,0,38.56606597,10.62166395,0,0,0,1.567285525,0.031471597,0,0,0,0,0.169946623,0,0,0,0,0,0,0,0,0,0,0,0,0.679786493,0,0,1.151860446,0,0,0.528722828,0.226595498,0,0,0,0,0.288510348,0,0,0,0,0.321010288,0,0,0,0.944147907,0,0,0,0,34.97123846,2.316309531,0,0,0,0,0,0,0,0,0,3.91893223,0,11.97231998,0,0.642020577,0,0.245478456,0,0,4.355669009,0.767906964,0,0,0,0,0,0,0,0.169946623,1.023567407
2014188010,112,7/8/14,0,0,0.216758372,0,0.13439019,0,0,0,0,0,0,0,0,0.0413978,0,0,0,0,0.1553435,0,0,0,0.043351674,0,0,0,0,0,0,0,0,0,0,0,0,0.156066028,0,1.092462193,0,0,0,0,0,0,0.021675837,0.000722528,0,0.019508253,0,0,0,0,0,0,0,0.092483572,0,0,6.94482262,0.401725515,0,0,7.608218842,0.247827071,0,0,0,0,0,0,0,0.02926238,0,0,0,0.011560446,0.072614054,0,0,0,0,0,0,0,0.040461563,0,0,0,0,0,0,0,0,0.444354662
2014188011,113,7/8/14,0,0,0.68148832,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000481685,0,0.013872536,0,0,0,0,0,0,0.020606905,0,0,0,0,0,0,0,0,0,0,0,0.023891589,0,0,1.271649113,0,0,0,0.045663764,0,0,0.010404402,0,0,0,0,0,0,0,0,0,0,0.038534822,0.05626084,0.273982582,0,0.849692817,0.073023487,0,0,0,0,0,0,0,0,0,0,0.005887687,0.02485496,0.002023078,0,0,0,0,0,0,0.045085741,0.029479139,0,0,0,0,0,0,0,0.063004433,0.002023078
2014188012,114,7/8/14,0,0,0,0,0,0,0,0,0,0.039845382,0,0,0,0,0,0,0,0,0.084969282,0,0,0,0,0,0,0,0.048553875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040967332,0,0,0,0,0,0,0,0,0,0,0,0,0,26.9335629,1.262400756,0,0,0,21.40315512,1.710006793,0,0,6.017645911,0,0,0,0.006827889,0,0.091038516,0,0,0.204836661,0.546231096,0.047795221,0,0,0,0,0.094073133,0.336842509,0,0,0,0,0,0,0,0,0.036415406
